molecule_chembl_id,canonical_smiles,standard_value,drug_level
CHEMBL75919,CN1CC[C@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)C12,3500.0,Intermediate
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,33.5,Active
CHEMBL309351,C[C@]12CCNC1Nc1ccc(OC(=O)Nc3ccccc3)cc12,231.0,Active
CHEMBL310934,CN1CC[C@@]2(C)c3cc(O)ccc3N(C)[C@@H]12,0,Active
CHEMBL75743,CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCNC1N2,1490.0,Intermediate
CHEMBL76135,C[C@@]12CCN(Cc3ccccc3)C1N(Cc1ccccc1)c1ccc(OC(=O)Nc3ccccc3)cc12,41130.0,inactive
CHEMBL440497,CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCN(Cc3ccccc3)C1N2Cc1ccccc1,3560.0,Intermediate
CHEMBL368196,Nc1c2c(nc3cccc(Cl)c13)C1CCC2C1,42.2,Active
CHEMBL62084,Nc1c2c(nc3ccc(Cl)cc13)CCCC2,743.0,Active
CHEMBL172118,Nc1c2c(nc3ccc(Cl)cc13)C1CCC2C1,1100.0,Intermediate
CHEMBL1202875,Cl.Cl.O.c1ccc(CN2CCC(CCOc3ccc(-c4ccccc4)nn3)CC2)cc1,710.0,Active
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,143.0,Active
CHEMBL62084,Nc1c2c(nc3ccc(Cl)cc13)CCCC2,3680.0,Intermediate
CHEMBL134057,Nc1c2c(nc3cccc(Cl)c13)CCCC2,39.0,Active
CHEMBL436367,Nc1c2c(nc3c1CCCO3)CCCC2,455.0,Active
CHEMBL132365,COc1cccc2nc3c(c(N)c12)CCCC3,615.0,Active
CHEMBL3215535,Cl.Cl.c1ccc(CN2CCC(CCNc3ccc(-c4ccccc4)nn3)CC2)cc1,140.0,Active
CHEMBL1202865,Cl.Cl.O.c1ccc(CN2CCC(CCNc3cc4c(nn3)-c3ccccc3CCC4)CC2)cc1,120.0,Active
CHEMBL133520,Nc1c2c(nc3cccc(F)c13)OCCC2,335.0,Active
CHEMBL130373,Nc1c2c(nc3cnccc13)OCCC2,42.0,Active
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,95.0,Active
CHEMBL1202884,Cl.Cl.O.c1ccc(CN2CCC(CCNc3cc4ccc5ccccc5c4nn3)CC2)cc1,190.0,Active
CHEMBL263198,Nc1c2c(nc3c1CCCC3)CCCC2,360.0,Active
CHEMBL133906,Cc1cccc2nc3c(c(N)c12)CCCC3,99.0,Active
CHEMBL1204162,Cl.O.c1ccc(CN2CCC(CCN=c3cc4c(n[nH]3)-c3ccccc3C4)CC2)cc1,74.0,Active
CHEMBL134240,Nc1c2c(nc3ccc(Cl)cc13)OCCC2,9810.0,Intermediate
CHEMBL132030,Nc1c2c(nc3cccc(F)c13)CCCC2,78.0,Active
CHEMBL133448,Nc1c2c(nc3ncccc13)CCCC2,429.0,Active
CHEMBL130880,Nc1c2c(nc3c1CCC3)CCCC2,658.0,Active
